node_id,r_m,z_m,T_K
356,0.055,0.095,300.0010339
357,0.06,0.095,300.0006855
358,0.065,0.095,300.0003463
359,0.07,0.095,300
360,0,0.1,300.025159
361,0.005,0.1,300.0066028
362,0.01,0.1,300.0065983
363,0.015,0.1,300.0033773
364,0.02,0.1,300.0037934
365,0.025,0.1,300.0022692
366,0.03,0.1,300.0027425
367,0.035,0.1,300.0016247
368,0.04,0.1,300.0019358
369,0.045,0.1,300.0011382
370,0.05,0.1,300.0013379
371,0.055,0.1,300.0008097
372,0.06,0.1,300.0005495
373,0.065,0.1,300.0002619
374,0.07,0.1,300
375,0,0.105,300.0053014
376,0.005,0.105,300.004661
377,0.01,0.105,300.0034184
378,0.015,0.105,300.0028594
379,0.02,0.105,300.0022774
380,0.025,0.105,300.0019522
381,0.03,0.105,300.0016224
382,0.035,0.105,300.0013963
383,0.04,0.105,300.00115
384,0.045,0.105,300.0009761
385,0.05,0.105,300.0007881
386,0.055,0.105,300.0006044
387,0.06,0.105,300.0003862
388,0.065,0.105,300.0001903
389,0.07,0.105,300
390,0,0.11,300.0038655
391,0.005,0.11,300.0025012
392,0.01,0.11,300.0023913
393,0.015,0.11,300.0018057
394,0.02,0.11,300.0016077
395,0.025,0.11,300.0012683
396,0.03,0.11,300.0011393
397,0.035,0.11,300.0009048
398,0.04,0.11,300.0008066
399,0.045,0.11,300.0006288
400,0.05,0.11,300.000534
401,0.055,0.11,300.0003828
402,0.06,0.11,300.0002573
403,0.065,0.11,300.0001235
404,0.07,0.11,300
405,0,0.115,300.0012742
406,0.005,0.115,300.0012144
407,0.01,0.115,300.001057
408,0.015,0.115,300.0009113
409,0.02,0.115,300.0007626
410,0.025,0.115,300.0006475
411,0.03,0.115,300.0005449
412,0.035,0.115,300.0004621
413,0.04,0.115,300.0003856
414,0.045,0.115,300.0003193
415,0.05,0.115,300.000254
416,0.055,0.115,300.0001903
417,0.06,0.115,300.0001245
418,0.065,0.115,300.0000611
419,0.07,0.115,300
420,0,0.12,300
421,0.005,0.12,300
422,0.01,0.12,300
423,0.015,0.12,300
424,0.02,0.12,300
425,0.025,0.12,300
426,0.03,0.12,300
427,0.035,0.12,300
428,0.04,0.12,300
429,0.045,0.12,300
430,0.05,0.12,300
431,0.055,0.12,300
432,0.06,0.12,300
433,0.065,0.12,300
434,0.07,0.12,300
